,model,pooling,mv_window_size,mv_window_shift_frac,per_cls_precision_0,per_cls_precision_1,per_cls_precision_2,per_cls_precision_3,per_cls_recall_0,per_cls_recall_1,per_cls_recall_2,per_cls_recall_3,macro_precision,macro_recall,macro_f1,overall_accuracy
67,BERT,gaussian,512,0.5,0.9983866179375941,0.9280438756848789,0.9135004041963339,0.768907562992903,0.9977390471669341,0.9611481369274756,0.8528301886728089,0.6019736841907245,0.9022096152029274,0.8534227642394858,0.8771383216214933,0.9961593835949679
68,BERT,gaussian,512,1.0,0.9980409095747526,0.9283498301071588,0.841900311519923,0.7131474103301535,0.9975508049401104,0.951832777945356,0.8158490565976163,0.5888157894543152,0.870359615382997,0.8385121072343494,0.8541390921467062,0.9956271782192965
69,BERT,gaussian,1024,0.25,0.9980664447340595,0.9370243247269534,0.9407281964357264,0.7755102040499792,0.99807665550852,0.9510754316866471,0.8384905660314077,0.6249999999794408,0.9128322924866796,0.853160663301504,0.8819883422280606,0.9961991004140478
70,BERT,gaussian,1024,0.5,0.9979558973078615,0.9338059701485568,0.9230125522935314,0.7287449392417512,0.9979375199495634,0.947667373522457,0.8324528301823967,0.5921052631384176,0.8958798397479253,0.8425407466982087,0.8683919998142716,0.995938955249074
71,BERT,gaussian,1024,1.0,0.9976268509539445,0.931474941768028,0.8741721854232272,0.7195121950927027,0.9977697388343509,0.9388821569214337,0.7969811320694568,0.5822368420861106,0.8806965433094757,0.828967467477838,0.8540494205259578,0.9954464666924826
72,BERT,max,128,0.25,0.9980599214145178,0.9289280469890389,0.9315068493065617,0.7999999999619047,0.9978720443924073,0.9581944865185108,0.7698113207489071,0.5526315789291897,0.9146237044180059,0.8196273576472538,0.8645237384238028,0.9959627853405221
73,BERT,max,128,0.5,0.9982556889721258,0.9245927865031088,0.9115586689937692,0.774336283151578,0.9976694793874558,0.962965767948377,0.7856603773525611,0.575657894717906,0.9021858569051455,0.830488379851575,0.8648537046460294,0.9959468986128901
74,BERT,max,128,1.0,0.9981250461054032,0.9077983627740142,0.7457020057253174,0.7445887445565113,0.9966546082515366,0.957437140259802,0.7856603773525611,0.5657894736655991,0.8490535397903115,0.8263853998823747,0.8375661185843098,0.9948109975872033
75,BERT,max,256,0.25,0.9981541924591805,0.9340862119863196,0.9417989417906368,0.826923076883321,0.9980377793964587,0.9584216903961236,0.8060377358429733,0.5657894736655991,0.9252406057798644,0.8320716698252886,0.8761863240218569,0.9962328597102658
76,BERT,max,256,0.5,0.9982765749280337,0.9316295806705356,0.9371231696732376,0.7955555555201975,0.9979293355049189,0.9607694637981211,0.8211320754655009,0.5888157894543152,0.9156462201980011,0.842161666055714,0.8773679398789832,0.9962427889150358
77,BERT,max,256,1.0,0.9980854287820256,0.9230600453441651,0.8101460415003064,0.7316017315700605,0.9973257327123863,0.9558467131165133,0.7954716981072041,0.555921052613292,0.8657233117991394,0.8261412991373489,0.8454692800507209,0.9954405091696206
78,BERT,max,512,0.25,0.9982073205171553,0.9358898430552739,0.9378673383632422,0.8160377358105643,0.9980480099522643,0.957437140259802,0.8430188679181659,0.5690789473497013,0.9220005594365589,0.8418957413699835,0.8801292227607761,0.9963162650303338
79,BERT,max,512,0.5,0.9982704486189993,0.9331219584125253,0.9237779618813275,0.7913043477916823,0.99793138161608,0.9584216903961236,0.8415094339559132,0.5986842105066222,0.9116186791761337,0.8491366791186847,0.8792690589469456,0.9962427889150358
80,BERT,max,512,1.0,0.9980409095747526,0.9283498301071588,0.841900311519923,0.7131474103301535,0.9975508049401104,0.951832777945356,0.8158490565976163,0.5888157894543152,0.870359615382997,0.8385121072343494,0.8541390921467062,0.9956271782192965
